FID,Project_Name,,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Coordinates,,geom,Route
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_114,Garber Property,,08-04-2010,03-05-2010,6:00 PM,Forest Ridge Elementary,9550 Gorman Road,Laurel,20723,"(39.1338,-76.8286)",,POINT (1360873.2940623537 534406.377971191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_115,RIGGER RE-SUBDIVISION,,12-04-2010,30-04-2010,6:00 PM,BANQUET ROOM AT BARE BONES RESTAURANT,9150  BATLIMORE NATIONAL PIKE,ELLICOTT CITY,21042,"(39.3023,-76.8343)",,POINT (1359279.7021243535 595680.1168671921),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_116,T-Mobile Communications LLC,,11-03-2010,07-04-2010,07:00,Glenwood Community Center ,2400  Route 97 ,Cooksville ,21723,"(39.2815,-77.0735)",,POINT (1291472.2659703493 588101.9936781917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_117,WINCOPIA,,05-03-2010,05-04-2010,7:00 PM,SAVAGE PUBLIC LIBRARY,9525 DURNESS LANE,LAUREL,20723,"(39.1473,-76.8498)",,POINT (1354874.4392603524 539298.9385251924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_118,Wertz Property,,24-02-2010,25-03-2010,6:00 P.M.,Elkridge Library,6540 Washington Blvd,"Elkridge, Maryland",21075,"(39.2229,-76.7728)",,POINT (1376693.0169823505 566801.5000041928),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_119,Linwood Center,,23-02-2010,24-03-2010,7:00 p.m.,Linwood Center,3421 Martha Bush Drive,Ellicott City,21043,"(39.2768,-76.8017)",,POINT (1368514.2032283507 586394.6522331927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_11a,Davis Property,,19-02-2010,22-03-2010,7:00 PM,Rehoboth Ministries Church,15950 North Avenue,Lisbon,21765,"(39.3452,-77.0461)",,POINT (1299242.691678349 611270.198888192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_11b,Shipley's Choice,,16-02-2010,11-03-2010,7:00 PM,St. James United Methodist Church,12470 Old Frederick Road,Marriottsville,21104,"(39.3196,-76.9358)",,POINT (1330500.389636349 601954.55122119),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_11c,T-Mobile Northeast LLC,,26-01-2010,09-03-2010,7:30 PM,Fire Department Clarksville Vol Co #5,5000 Signal Bell Lane,Clarksville,21029,"(39.2377,-77.0097)",,POINT (1309574.8242203519 572160.62479119),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_11d,Vista Subdivision,,01-01-1900,03-03-2010,6:00 p.m.,Lime Kiln Middle School,11650  Scaggsville Road,Fulton,21029,"(39.179,-76.8811)",,POINT (1346002.6978363544 550840.8576141931),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_11e,Keim Property,,02-02-2010,01-03-2010,06:30,Ellicott City Senior Center - The Great Room,9401  Frederick Road,Ellicott City,21042,"(39.2989,-76.8347)",,POINT (1359153.869860351 594438.9760041926),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_11f,Davis Property,,01-01-1900,24-02-2010,6:00 p.m.,Ellicott Mills Middle School,4445 Montgomery Road,Ellicott City,21043,"(39.262,-76.8067)",,POINT (1367080.1688683517 581016.9812451918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_120,HEDGEROW FARM,,15-01-2010,12-02-2010,7:00 P.M.,ST LOUIS CATHOLIC CHURCH,12500 CLARKSVILLE PIKE,CLARKSVILLE,21029,"(39.2194,-76.9815)",,POINT (1317549.0188423507 565502.9022831917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_121,"E.L. Dunst Property , Lots 1,2 & 3",,20-01-2010,11-02-2010,6:00 PM,Jennings Chapel United Methodist Church,2601 Jennings Chapel Road,Woodbine,21797,"(39.2734,-77.0944)",,POINT (1285552.481442351 585163.6935981922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_122,LINWOOD NEW SCHOOL,,19-01-2010,10-02-2010,7:00 P.M.,LINWOOD CENTER,3421 MARTHA BUSH DRIVE,ELLICOTT CITY,21043,"(39.2768,-76.8017)",,POINT (1368514.2032283507 586394.6522331927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_123,"Trotter 5857, LLC",,23-12-2009,02-02-2010,6:00 p.m.,Pointers Run Elementary School,6600  South Trotter Road,Clarksville,21029,"(39.2102,-76.9187)",,POINT (1335346.9156423546 562172.2227741927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_124,Pine Orchard Park Parcel F-3,,06-01-2010,01-02-2010,6:30 PM,Ellicott Center Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2826,-76.8622)",,POINT (1351352.8363043517 588501.2824761923),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_125,"Ann's Delight, Lots 3 - 5",,20-11-2009,13-01-2010,6:00 PM,"St. Pauls Church, Church Hall",3755 St. Paul Street,Ellicott City,21043,"(39.2686,-76.7967)",,POINT (1369925.5651083514 583401.8045031913),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_126,Wilde Lake Village Center Redevelopment,,22-12-2009,11-01-2010,7:00 PM,Slayton House,10400 Cross Fox Lane,Columbia,21044,"(39.2201,-76.8752)",,POINT (1347686.568755649 565777.6587962415),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_127,New Life Mennonite Church,,18-11-2009,05-01-2010,7:00 PM,New Life Mennonite Church,9580  Old Rt 108,Ellicott City ,21042,"(39.2403,-76.8431)",,POINT (1356772.4092423506 573127.209149193),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_128,T-MOBILE COMMUNICAITONS NORTHEAST LLC,,14-12-2009,05-01-2010,7:00 PM,"HOWARD COUNTY LIBRARY, GLENWOOD BRANCH",2350 RT 97,COOKSVILLE,21738,"(39.2918,-76.9783)",,POINT (1318472.6389963515 591830.1437301915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_129,Boarman Property,,23-11-2009,22-12-2009,6:00 p.m.,Glenwood Library,2350 Route 97,"Cooksville, MD",21723,"(39.2735,-76.9865)",,POINT (1316138.2237743512 585197.8767921906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_12a,Marshalee Woods,,18-11-2009,21-12-2009,6:00pm,Elkridge Library,6540  Washington Blvd,Elkridge,21075,"(39.2112,-76.7596)",,POINT (1380436.8102423511 562544.2377471924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_12b,Great Multitude Presbyterian Church,,23-11-2009,15-12-2009,06:30,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2879,-76.8884)",,POINT (1343938.6519383527 590436.9967491906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_12c,Ana Maria Davis,,06-11-2009,12-12-2009,12:00 p.m.,New Generation Church of the Nazarene,10140 Guilford Road,Jessup,20794,"(39.1473,-76.8136)",,POINT (1365145.9229183495 539306.5751961917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_12d,Normandy Venture Limited Partnership,,10-11-2009,07-12-2009,6:30 PM,Ellicott City Senior Center,9401  Frederick Road,Ellicott City,21042,"(39.2874,-76.8078)",,POINT (1366779.7585083507 590239.5342561901),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_12e,Riverwalk,,20-11-2009,07-12-2009,7:00 PM,Savage Library,6525 Durness Lane,Laurel,20723,"(39.1341,-76.8347)",,POINT (1359167.7567543536 534482.0173791908),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_12f,5835 & 5847 Trotter Road,,03-11-2009,02-12-2009,6:00 p.m.,Central Library,10375 Little Patuxent Parkway,Columbia,21044,"(39.2109,-76.9178)",,POINT (1335616.4347483516 562436.9607021902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_130,Samuel's Grant,,28-10-2009,23-11-2009,6:00 p.m.,Elkridge Library,6540 Washington Blvd,"Elkridge, Maryland",21075,"(39.2061,-76.7571)",,POINT (1381160.6291663535 560679.7990701906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_131,Emmanuel United Methodist Church,,15-10-2009,19-11-2009,6:00 p.m.,Emmanuel United Methodist Church,10755 Scaggsville Road,Laurel,20723,"(39.1393,-76.886)",,POINT (1344629.2301726118 536377.8573200405),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_132,Philip and Camilla Carroll,,21-09-2009,21-10-2009,6:30 PM,Ellicott City Senior Center,9401  Frederick Road,Ellicott City,21042,"(39.2845,-76.8881)",,POINT (1344032.742730353 589184.9463561922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_133,Laurel Park,,02-09-2009,07-10-2009,6:00 PM,Savage Public Library - Meeting Room,9525 Durness Lane,Laurel,20723,"(39.1065,-76.836)",,POINT (1358782.3245943524 524459.0685171932),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_134,Great Multitude Presbyterian Church,,04-09-2009,05-10-2009,6:30 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2879,-76.8884)",,POINT (1343938.6519383527 590436.9967491906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_135,Forest Green,,08-09-2009,30-09-2009,6:30 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2784,-76.8577)",,POINT (1352624.4790263511 586965.5843031909),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_136,"Preston Capital Management, LLC",,28-08-2009,22-09-2009,6:00 PM,"Elkridge Elementary School, Library",7075 Montgomery Road,Elkridge,21075,"(39.1828,-76.7348)",,POINT (1387457.9104863517 552199.4577501919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_137,Fiberight      Mr. Craig Stuart-Paul CEO,,26-08-2009,21-09-2009,7:00 PM,Deep Run Elementary School  ,6925 Old Waterloo Road,Elkridge ,21075,"(39.1759,-76.7662)",,POINT (1378563.4965823516 549693.5387091897),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_138,Verizon Wireless,,14-08-2009,15-09-2009,6:00 PM,Ilchester Elementary School - Media Center,4979 Ilchester Road,Ellicott City,21043,"(39.2302,-76.7807)",,POINT (1374462.0449503511 569456.5159551911),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_139,TROTTER CROSSING,,10-08-2009,03-09-2009,6:00 PM,5th DISTRICT VOLUNTEER FIRE DEPT.,5000 SIGNAL BELL LANE,CLARKSVILLE,21029,"(39.2149,-76.9208)",,POINT (1334767.9171843529 563900.6559771914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_13a,Donaldson Funeral Home,,31-07-2009,26-08-2009,6:00 PM,Clarksville Fire Station,5000 Signal Bell Lane,Clarksville,21029,"(39.2021,-76.9443)",,POINT (1328094.4577256106 559210.1703229249),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_13b,T-Mobile Northeast LLC,,26-06-2009,26-08-2009,7:00 PM,"Howard County Library, Glenwood Branch",2350 SR 97,Cooksville,21738,"(39.2832,-77.0175)",,POINT (1307361.1399543546 588726.382445192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_13c,Mt. Airy Bible Church,,30-07-2009,25-08-2009,6:00 p.m.,Mt. Airy Bible Church,16700  Old Frederick Road,Mt. Airy,21771,"(39.3496,-77.0965)",,POINT (1284955.9118123502 612878.9909121916),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_13d,Kimberly Ann Beaumont,,03-08-2009,25-08-2009,6:00 PM,Oakland Mills Interfaith Center,5885  Robert Oliver Place,Columbia,21045,"(39.1959,-76.8626)",,POINT (1351240.6075283512 556966.9223601911),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_13e,WHISKEY BOTTOM POINT LOTS 1 THRU 4 & OPEN SPACE LOT 5,,27-07-2009,20-08-2009,6:00 PM,SAVAGE LIBRARY,9525  DURNESS LANE,LAUREL,20723,"(39.1162,-76.8344)",,POINT (1359232.6567283496 527977.39194219),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_13f,ST. PAUL'S LUTHERAN CHURCH PROPERTY,,22-07-2009,18-08-2009,8:00 PM,ST. PAUL'S LUTHERAN CHURCH MEETING HALL,11795 ROUTE 216,FULTON,20759,"(39.1508,-76.9226)",,POINT (1334258.353196349 540568.4441661909),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_140,"ST. PAUL'S LUTHERAN CHURCH OF FULTON, MARYLAND",,22-07-2009,18-08-2009,8:00 PM,ST. PAUL'S LUTHERAN CHURCH MEETING HALL,11795 ROUTE 216,FULTON,20759,"(39.1508,-76.9226)",,POINT (1334258.353196349 540568.4441661909),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_141,Hammonds Promise Overlook,,21-07-2009,17-08-2009,6:00 p.m.,Savage Library,9525 Durness Lane,"Laurel, Maryland",20723,"(39.1294,-76.8451)",,POINT (1356208.7147083543 532778.3124441914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_142,Morris Place,,08-07-2009,12-08-2009,6:00 P.M.,Elkridge Library,6540 Washington Blvd.,Elkridge,21075,"(39.1809,-76.7721)",,POINT (1376884.8828443512 551515.430219192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_143,T-Mobile Northeast LLC,,26-05-2009,11-08-2009,7:00 PM,Howard County Public Library,2350 Route   97,Glenwood,21723,"(39.3175,-77.1087)",,POINT (1281516.8402864933 601208.2676063031),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_144,Colvin Property,,15-07-2009,05-08-2009,6:00 PM,Elkridge Branch Library,6540 Washington Blvd,Elkridge,21075,"(39.2063,-76.7211)",,POINT (1391353.0425503515 560765.9843571912),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_145,T-Mobile Northeast LLC,,22-06-2009,30-07-2009,7:00 PM,Howard County Public Library Glenwood Branch,2350  SR 97,Cooksville,21723,"(39.2865,-77.0703)",,POINT (1292379.165170353 589929.7036041915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_146,Muth Property,,06-07-2009,27-07-2009,7:00 PM,St. Louis Catholic Church-Rooms 302 & 303,12500 Clarksville Pike,Clarksville,21029,"(39.2127,-76.9679)",,POINT (1321412.1260283515 563091.532502193),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_147,Forest Venture II LLC,,25-06-2009,21-07-2009,6:00 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2774,-76.8578)",,POINT (1352611.725756351 586606.6607661918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_148,"NVH Property Holdings, LLC",,19-06-2009,20-07-2009,6:00 PM,East Columbia Library,6600 Cradlerock Way,Columbia,21045,"(39.204,-76.7966)",,POINT (1369953.9057083502 559911.7681581918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_149,"SCI Funeral Services of Maryland, Inc.",,17-06-2009,16-07-2009,6:00 PM,Elkridge Public Library,6540 Washington Blvd.,Elkridge,21075,"(39.1879,-76.7669)",,POINT (1378365.1123823524 554050.8049911913),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_14a,"Dennis F. Cook, Sr.",,08-06-2009,09-07-2009,6:00 PM,Lisbon Volunteer Fire Co. - Social Hall,1330  Woodbine Rd,Woodbine,21797,"(39.3173,-77.1047)",,POINT (1282631.982612349 601113.7901091911),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_14b,Robert & F. Maxine Walker,,10-06-2009,09-07-2009,7:00 PM,Jennings Chapel United Methodist Church,2601 Jennings Chapel Rd.,Woodbine,21797,"(39.2727,-77.0883)",,POINT (1287285.7925383523 584885.1369321924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_14c,T-Mobile Northeast LLC,,18-05-2009,08-07-2009,7:00 PM,Mt Airy Library,705  Ridge Road,Mt Airy,21771,"(39.3353,-77.1573)",,POINT (1267729.928320352 607655.8715991918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_14d,Muth Propertys - (CANCELLED),,15-06-2009,03-07-2009,7:00 PM,St. Louis Catholic Church-Pastoral Meeting Center,12500  Clarksville Pike,Clarksville,21029,"(39.2127,-76.9679)",,POINT (1321412.1260283515 563091.532502193),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_14e,Soccer Association of Columbia/Howard County,,09-06-2009,02-07-2009,7:00 p.m.,"Howard County Library, Miller Branch",9421 Frederick Road,Ellicott City,21042,"(39.2453,-76.8752)",,POINT (1347669.4085223489 574924.3723911922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_14f,Sobus Property,,03-06-2009,01-07-2009,6:00 PM,Lisbon Fire Station,1330  Woodbine Road,Lisbon,21797,"(39.3411,-77.142)",,POINT (1272059.805188354 609757.7743791919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_150,Nickle Property,,03-06-2009,29-06-2009,6:00 PM,Clarksville Fire Station (Fifth District),5000 Signal Bell Lane,Clarksville,21029,"(39.2112,-76.9184)",,POINT (1335437.322156351 562542.4194921907),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_151,T-Mobile Northeast LLC (CANCELLED),,13-05-2009,24-06-2009,7:00 PM,Howard County Library - Glenwood Branch,2350 State Route 97,Cooksville,21723,"(39.2918,-76.9783)",,POINT (1318472.6389963515 591830.1437301915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_152,T-Mobile Northeast LLC,,13-05-2009,18-06-2009,7:00 PM,Rockville Senior Center,19300 Georgia Avenue,Brookeville,20833,"(39.1827,-77.0003)",,POINT (1312230.6218463518 552191.4574281909),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_153,Great Multitude Presbyterian Church (CANCELLED),,14-05-2009,09-06-2009,6:30 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2782,-76.8533)",,POINT (1353891.5872523524 586887.7629891913),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_154,Idiots Delight,,08-05-2009,03-06-2009,6:00 p.m.,Lisbon Fire Station No. 4,1330 Route 94,"Lisbon, Maryland",21794,"(39.322,-77.1261)",,POINT (1276580.981106352 602812.7675811909),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_155,Reinhardt Property,,08-05-2009,03-06-2009,6:00pm,Mt. Airy Library,705  Ridge Ave,Mt. Airy,21771,"(39.3433,-77.1646)",,POINT (1265661.9147383533 610590.5351691917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_156,Towns at Court Hill,,05-05-2009,01-06-2009,06:30,Ellicott City Senior Center - Great Room,9401  Frederick Road,Ellicott City,21042,"(39.2721,-76.801)",,POINT (1368719.1057663523 584683.6742781922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_157,"Cedar Village, Lots 1 thru 4, 109 and Open Space Lots 5 & 6",,04-05-2009,28-05-2009,6:00 p.m.,Columbia Presbyterian Church,10001 Clarksville Pike,Columbia,21044,"(39.2341,-76.8892)",,POINT (1343708.809672352 570871.4819961917),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_158,Marshalee Woods Limited Partnership,,04-05-2009,27-05-2009,6:00 PM,Elkridge Public Library,6540 Washington Boulevard,Elkridge,21075,"(39.2105,-76.7608)",,POINT (1380109.1929063536 562264.5901281927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_159,Beechcrest Townhouses,,27-04-2009,27-05-2009,7:00 p.m.,Laurel Woods Elementary School cafeteria,9250 Laurel Road,Laurel ,20723,"(39.1184,-76.8307)",,POINT (1360304.4982203506 528786.8790681902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_15a,"McKendree Springs, Resubdivision of Lot 2",,27-04-2009,18-05-2009,6:30 p.m.,Ho Co Public Library - Glenwood Branch,2350 Route 97,Cooksville,21723,"(39.3102,-77.005)",,POINT (1310897.1966163516 598543.5048411898),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_15b,"Carroll-Ziegler Property, Parcel ""I""",,15-04-2009,11-05-2009,6:00 PM,"Kahler Hall, Marchand Room",5440 Old Tucker Row,Columbia,21044,"(39.2537,-76.8879)",,POINT (1344085.4562463537 578003.4054081906),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_15c,"HH Land, LLC",,31-03-2009,08-05-2009,06:00,Elkridge Branch Library ,6540 Washington Blvd,Elkridge,21075,"(39.1968,-76.7378)",,POINT (1386619.8789443523 557284.7533341926),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_15d,"Klamut Property, Lots 4 and 5",,08-04-2009,07-05-2009,6:00 p.m.,Elkridge Library,6540 Washington Blvd.,"Elkridge, Maryland",21075,"(39.2332,-76.7739)",,POINT (1376390.3393743522 570536.9230761919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_15e,"Dar Al Taqwa, Inc.",,13-04-2009,06-05-2009,6:00 PM,Dar Al Taqwa Mosque,10740 Clarksville Pike,Ellicott City,21042,"(39.2364,-76.8847)",,POINT (1344976.20130435 571707.5156451929),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_15f,Lewal Partnership,,08-04-2009,04-05-2009,6:30 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2773,-76.8399)",,POINT (1357691.2114943527 586591.3874241915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_160,Rajesh Chopra,,31-03-2009,27-04-2009,6:00 PM,Schooley Mill Park,12975 Hall Shop Road,Highland,20777,"(39.1809,-76.9563)",,POINT (1324701.6194703504 551533.6127691902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_161,"Historic Ellicott Properties, Inc. and Caplan Department Stores, LLC",,23-03-2009,16-04-2009,6:00 PM,Taylor Village Senior Center,8165 Cyprus Cedar Lane,Ellicott City,21043,"(39.2672,-76.7966)",,POINT (1369968.3594143502 582915.6031161919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_162,L. Wayne Clemmer,,19-03-2009,10-04-2009,7:00 PM,Howard County Library - Savage Branch,9525 Durness Lane,Laurel,20723,"(39.1543,-76.8195)",,POINT (1363478.9288263507 541856.1323571913),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_163,Pine Tree Road Property ,,09-03-2009,08-04-2009,6:00 PM,Savage Branch Library,9525 Durness Lane,Laurel,20723,"(39.1438,-76.8143)",,POINT (1364925.5468676202 538039.1320465673),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_164,John L. Rhine III,,04-03-2009,30-03-2009,6:30 PM,St. James Church,12470 Old Frederick Rd.,Marriottsville,21104,"(39.3234,-76.9584)",,POINT (1324103.6328103505 603333.8794641905),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_165,Bethany Lane Baptist Church (COND. USE),,03-03-2009,24-03-2009,7:00 PM,Bethany Lane Baptist Church,3030 Bethany Lane,Ellicott City,21042,"(39.2879,-76.8584)",,POINT (1352426.9450443536 590446.8153261915),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_166,Shipley's Lodge,,23-02-2009,23-03-2009,7:00 PM,St. James United Methodist Church,12470 Old Frederick Rd.,Marriottsville,21104,"(39.3276,-76.9478)",,POINT (1327107.7364103533 604867.759382192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_167,Clark Property,,06-02-2009,23-03-2009,6:00 PM,Rehobeth Ministries Church,15950  North Ave.,Lisbon,21765,"(39.3154,-77.1147)",,POINT (1279807.5584163517 600426.1260681916),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_168,Parker Fuel Company (COND USE) Underground Bulk Storage of Fuel Oil,,28-01-2009,04-03-2009,6:30 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.2771,-76.833)",,POINT (1359631.1255643517 586495.0199091919),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_169,Cloverland Farms Dairy (COND USE) Add 4 more gas pumps,,27-01-2009,03-03-2009,6:00 PM,Howard County Library (Glenwood Branch),2350 Route 97,Glenwood,21723,"(39.2645,-76.9862)",,POINT (1316234.0150023513 581911.1990541928),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_16a,Guilford Gardens Redevelopment,,04-02-2009,25-02-2009,6:30 PM,Guilford Elementary School,7335  Oakland Mills Road,Columbia ,21046,"(39.1713,-76.8304)",,POINT (1360384.135306351 548017.1075991914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_16b,"Murray Hill PSC, LLC (ZONING BOARD)",,30-01-2009,23-02-2009,7:00 PM,Murray Hill Middle School,9989 Winter Sun Road,Laurel,20723,"(39.1436,-76.8549)",,POINT (1353418.582638353 537947.611409191),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_16c,Jordon Overlook,,19-01-2009,17-02-2009,6:00 PM,Taylor Village Senior Center (Great Hall),8165 Cyprus Cedar,Ellicott City,21043,"(39.234,-76.8341)",,POINT (1359330.7152043507 570811.1159301922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_16d,Hecht Property,,13-01-2009,12-02-2009,6:00 PM,Glenwood Community Center,2400 Rt 97,Glenwood,21738,"(39.2446,-77.026)",,POINT (1304927.532632351 574693.8176571932),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_16e,Locust Chapel (Welsh Property),,12-01-2009,11-02-2009,6:00 PM,Taylor Village Senior Center (Great Hall),8165 Cyprus Cedar,Ellicott City,21043,"(39.2451,-76.7705)",,POINT (1377350.2354963496 574869.8247411922),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_16f,"Hebron Manor I, LLC (CONDITIONAL USE)",,07-01-2009,04-02-2009,6:00 PM,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,"(39.3005,-76.8563)",,POINT (1353030.883230351 595028.4542751927),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_170,John Clime (COND USE) Landscape/TreeFarm  (RESCHEDULED),,16-12-2008,29-01-2009,7:30 PM,Glenwood Li brary,2350 Route 97,Cooksville,21723,"(39.3134,-77.0605)",,POINT (1295151.7260683514 599704.2788331918),
